striker,runs,balls_x,dismissals,average,strike_rate,bowler,runs_conceded,balls_y,wickets,overs,economy,runs_norm,avg_norm,wkt_norm,eco_norm,allrounder_score,category
SR Watson,3880,2892,126.0,30.793650793650794,134.1632088520055,SR Watson,2742,2137,107.0,356.1666666666667,7.698642957416939,0.9999999999999999,1.0,0.2063492063492064,0.590108083402145,0.7976673456555642,Good
RA Jadeja,2692,2187,102.0,26.392156862745097,123.0909922267947,RA Jadeja,4546,3610,161.0,601.6666666666666,7.555678670360111,0.6368083154998472,0.7693392715491648,0.6349206349206349,0.652658809846308,0.6678808869557277,Good
KA Pollard,3437,2447,121.0,28.40495867768595,140.45770331017573,KA Pollard,2200,1586,81.0,264.3333333333333,8.32282471626734,0.8645674105778048,0.8748203514164922,0.0,0.31701175107288115,0.6158945598362848,Good
AR Patel,1418,1135,69.0,20.55072463768116,124.93392070484582,AR Patel,3484,2887,120.0,481.1666666666667,7.240734326290267,0.24732497707123205,0.4632184331745953,0.30952380952380953,0.7904554436533116,0.4596626915117863,Good
DJ Bravo,1560,1247,69.0,22.608695652173914,125.10024057738573,DJ Bravo,4436,3296,207.0,549.3333333333334,8.075242718446601,0.29073677774380924,0.5710666094495823,1.0,0.4253355439375177,0.45810869616869543,Good
SP Narine,1046,692,76.0,13.763157894736842,151.15606936416185,SP Narine,4296,3812,182.0,635.3333333333334,6.761804826862539,0.1335982879853256,0.10751532102375339,0.8015873015873016,1.0,0.45510110955761107,Good
AD Russell,2266,1374,79.0,28.68354430379747,164.91994177583697,AD Russell,2387,1583,106.0,263.8333333333333,9.047378395451675,0.5065729134821155,0.8894196589387889,0.19841269841269837,0.0,0.4003543670218738,Good
R Ashwin,714,622,54.0,13.222222222222221,114.79099678456592,R Ashwin,4966,4333,189.0,722.1666666666666,6.876528963766444,0.032100275145215545,0.0791675331531041,0.8571428571428572,0.9498050999186507,0.399329432378588,Good
Harbhajan Singh,833,636,55.0,15.145454545454545,130.9748427672956,Harbhajan Singh,4101,3496,161.0,582.6666666666666,7.0383295194508015,0.06848058697645978,0.17995471487385162,0.6349206349206349,0.8790129985800639,0.39057914083143686,Good
IK Pathan,1150,985,53.0,21.69811320754717,116.75126903553299,IK Pathan,2711,2113,99.0,352.1666666666667,7.698059630856601,0.16539284622439623,0.5233474456181039,0.1428571428571429,0.5903633044846575,0.3622213332444908,Good
