bowler,runs_conceded,balls,wickets,overs,economy,category,wickets_norm,eco_norm,overs_norm,performance_score
R Ashwin,4966,4333,189.0,722.1666666666666,6.876528963766444,Good,0.8285714285714287,0.9170151747554796,1.0,0.9070790159491684
SP Narine,4296,3812,182.0,635.3333333333334,6.761804826862539,Good,0.7619047619047619,0.9910930179520641,0.7124724061810155,0.8666124187836637
SL Malinga,3486,2974,188.0,495.6666666666667,7.032952252858103,Good,0.819047619047619,0.8160120188866156,0.25,0.7037202951575935
B Kumar,4496,3703,184.0,617.1666666666666,7.28490413178504,Good,0.7809523809523811,0.6533256628683706,0.6523178807947017,0.6914121218788399
Harbhajan Singh,4101,3496,161.0,582.6666666666666,7.0383295194508015,Good,0.5619047619047619,0.8125398959120602,0.5380794701986753,0.6824572705671937
A Mishra,4173,3432,182.0,572.0,7.295454545454546,Good,0.7619047619047619,0.6465132177233412,0.5027593818984548,0.6523799138127901
Rashid Khan,2968,2639,147.0,439.8333333333333,6.748010610079576,Good,0.4285714285714286,1.0,0.06512141280353179,0.6415957111321349
YS Chahal,4133,3266,194.0,544.3333333333334,7.5927740355174524,Good,0.8761904761904762,0.4545328101250954,0.41114790286975733,0.5723531284936421
RA Jadeja,4546,3610,161.0,601.6666666666666,7.555678670360111,Good,0.5619047619047619,0.4784854387314663,0.6009933774834435,0.5280128234338505
JJ Bumrah,3499,2857,161.0,476.1666666666667,7.348267413370668,Good,0.5619047619047619,0.6124117334687291,0.185430463576159,0.5118633880210249
